CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
cg19300307,0.8784,0.756,0.5303,0.825,0.7107,0.8563,0.9466,0.2371,0.2173,0.0817,0.064,0.031125,0.0328,0.0163,0.1834,0.0152,0.1692,0.1263,0.1312,0.1196,0.1031,0.0633,0.0523,0.1548,0.0837
cg11895835,0.8771,0.2624,0.2625,0.5883,0.317,0.8452,0.9116,0.1459,0.2798,0.0645,0.1487,0.0893,0.0434,0.0596,0.2274,0.0505,0.1786,0.454,0.2848,0.4004,0.1467,0.1678,0.1846,0.2278,0.1598
cg03419014,0.8364,0.8285,0.7382,0.7405,0.8015,0.8363,0.9309,0.2221,0.1454,0.0448,0.1418,0.1119,0.2455,0.1443,0.3724,0.0294,0.2864,0.2624,0.2212,0.2877,0.2185,0.2608,0.2063,0.2653,0.314
cg14785464,0.4055,0.4053,0.2854,0.2983,0.3742,0.3937,0.4071,0.045,0.0462,0.0288,0.0354,0.024725,0.0593,0.0477,0.0902,0.0718,0.0449,0.0451,0.0481,0.0427,0.0428,0.0402,0.0299,0.0578,0.041
cg06167719,0.4685,0.4815,0.3564,0.3747,0.4603,0.4562,0.6169,0.0459,0.0508,0.0091,0.0295,0.00935,0.0655,0.0153,0.1022,0.0114,0.0383,0.0619,0.0582,0.0756,0.0464,0.0527,0.0394,0.0764,0.063
cg09037712,0.7116,0.7505,0.6861,0.667,0.7361,0.7006,0.8243,0.2968,0.1988,0.0459,0.1974,0.1288,0.2675,0.2212,0.4387,0.0632,0.3144,0.3285,0.3075,0.373,0.3088,0.3446,0.3039,0.3065,0.4132
cg06340704,0.7613,0.714,0.3902,0.4906,0.4233,0.7775,0.7343,0.1308,0.1535,0.0609,0.0908,0.0542,0.0647,0.0365,0.1626,0.0463,0.1177,0.2136,0.1401,0.1412,0.1672,0.124,0.0986,0.1691,0.1438
cg12474798,0.5198,0.4197,0.2904,0.498,0.3472,0.5324,0.5621,0.0909,0.0382,0.0826,0.0504,0.02465,0.0253,0.0314,0.1296,0.0153,0.0965,0.0903,0.0482,0.0737,0.0437,0.0498,0.1414,0.1062,0.0771
cg20684110,0.5365,0.3919,0.3404,0.5153,0.4051,0.5404,0.4457,0.0798,0.0874,0.1038,0.0973,0.049325,0.0877,0.1032,0.1614,0.0704,0.0885,0.0861,0.051,0.0644,0.0477,0.0514,0.0865,0.0874,0.0763
cg01005506,0.3272,0.3353,0.2354,0.3152,0.257,0.3289,0.3228,0.0932,0.0697,0.0849,0.0836,0.058225,0.0618,0.0668,0.1342,0.048,0.0906,0.1252,0.0915,0.1167,0.075,0.0961,0.1458,0.132,0.1144
cg18856478,0.9477,0.941,0.9361,0.9174,0.9398,0.9456,0.9422,0.0793,0.0383,0.019,0.061,0.0186,0.0098,0.0033,0.1272,0.0083,0.1506,0.1784,0.1254,0.1485,0.0683,0.0724,0.0801,0.1673,0.0865
cg27189395,0.3106,0.3252,0.2104,0.2478,0.2322,0.3024,0.2513,0.0449,0.0281,0.0501,0.0261,0.0175,0.0336,0.039,0.1489,0.0331,0.0753,0.0324,0.0268,0.0272,0.039,0.0167,0.0396,0.0333,0.0419
cg04043919,0.2821,0.3054,0.2812,0.3322,0.2957,0.3046,0.2772,0.1638,0.1709,0.172,0.0998,0.13395,0.1101,0.1433,0.216,0.0892,0.2176,0.1825,0.1507,0.1711,0.164,0.1469,0.1909,0.1397,0.18
cg26033520,0.7498,0.8209,0.6811,0.4038,0.5694,0.7561,0.4239,0.1236,0.3139,0.2386,0.065,0.03995,0.0181,0.0276,0.1117,0.0117,0.1481,0.1144,0.1658,0.1197,0.0588,0.0488,0.1332,0.1571,0.0727
cg05507654,0.1953,0.0449,0.0537,0.1751,0.0725,0.2326,0.2002,0.0678,0.0476,0.0456,0.0173,0.014425,0.04,0.0327,0.1446,0.0155,0.1293,0.0257,0.0078,0.0065,0.0167,0.0106,0.0158,0.0271,0.0257
cg05056497,0.7282,0.5957,0.2246,0.185,0.3757,0.4537,0.851,0.1158,0.5274,0.0733,0.0718,0.413775,0.0921,0.0697,0.1235,0.0466,0.1062,0.1489,0.1287,0.1299,0.0973,0.3188,0.1083,0.1287,0.15
cg25913761,0.8363,0.221,0.2816,0.4705,0.3961,0.8293,0.2385,0.3578,0.3104,0.2389,0.225,0.132,0.2249,0.1996,0.3654,0.2037,0.2446,0.2054,0.1922,0.2045,0.1596,0.1557,0.1848,0.168,0.2026
cg26955540,0.7658,0.0222,0.1492,0.4005,0.3474,0.7915,0.1374,0.1965,0.0978,0.0338,0.0768,0.041725,0.0314,0.0139,0.2382,0.0193,0.1134,0.1269,0.1651,0.1523,0.1034,0.0686,0.0943,0.1298,0.1075
cg24275356,0.2794,0.264,0.0843,0.0754,0.0748,0.2495,0.2217,0.0701,0.0551,0.0491,0.0826,0.05825,0.0666,0.0542,0.101,0.0545,0.0547,0.0605,0.0726,0.0778,0.0577,0.0621,0.0674,0.065,0.0647
cg26953232,0.4601,0.4022,0.1396,0.1562,0.1308,0.4176,0.4552,0.1474,0.0882,0.0534,0.1044,0.08145,0.0602,0.0965,0.1544,0.0644,0.1664,0.106,0.1236,0.1366,0.1044,0.086,0.1621,0.1152,0.12
cg00936790,0.8,0.5784,0.1317,0.5352,0.2861,0.7899,0.7732,0.0997,0.3011,0.1118,0.2289,0.272075,0.1304,0.0161,0.1677,0.0163,0.3468,0.1317,0.2308,0.1925,0.1124,0.1476,0.2941,0.1368,0.1069
cg05258935,0.9509,0.9555,0.9521,0.95,0.9602,0.9363,0.9645,0.0693,0.0349,0.0134,0.0879,0.00565,0.0125,0.0187,0.1659,0.0153,0.1607,0.213,0.1654,0.1391,0.0804,0.07,0.0767,0.1801,0.0703
cg12474798,0.5198,0.4197,0.2904,0.498,0.3472,0.5324,0.5621,0.0909,0.0382,0.0826,0.0504,0.02465,0.0253,0.0314,0.1296,0.0153,0.0965,0.0903,0.0482,0.0737,0.0437,0.0498,0.1414,0.1062,0.0771
cg20684110,0.5365,0.3919,0.3404,0.5153,0.4051,0.5404,0.4457,0.0798,0.0874,0.1038,0.0973,0.049325,0.0877,0.1032,0.1614,0.0704,0.0885,0.0861,0.051,0.0644,0.0477,0.0514,0.0865,0.0874,0.0763
cg01005506,0.3272,0.3353,0.2354,0.3152,0.257,0.3289,0.3228,0.0932,0.0697,0.0849,0.0836,0.058225,0.0618,0.0668,0.1342,0.048,0.0906,0.1252,0.0915,0.1167,0.075,0.0961,0.1458,0.132,0.1144
cg03419014,0.8364,0.8285,0.7382,0.7405,0.8015,0.8363,0.9309,0.2221,0.1454,0.0448,0.1418,0.1119,0.2455,0.1443,0.3724,0.0294,0.2864,0.2624,0.2212,0.2877,0.2185,0.2608,0.2063,0.2653,0.314
cg14785464,0.4055,0.4053,0.2854,0.2983,0.3742,0.3937,0.4071,0.045,0.0462,0.0288,0.0354,0.024725,0.0593,0.0477,0.0902,0.0718,0.0449,0.0451,0.0481,0.0427,0.0428,0.0402,0.0299,0.0578,0.041
cg06167719,0.4685,0.4815,0.3564,0.3747,0.4603,0.4562,0.6169,0.0459,0.0508,0.0091,0.0295,0.00935,0.0655,0.0153,0.1022,0.0114,0.0383,0.0619,0.0582,0.0756,0.0464,0.0527,0.0394,0.0764,0.063
cg09037712,0.7116,0.7505,0.6861,0.667,0.7361,0.7006,0.8243,0.2968,0.1988,0.0459,0.1974,0.1288,0.2675,0.2212,0.4387,0.0632,0.3144,0.3285,0.3075,0.373,0.3088,0.3446,0.3039,0.3065,0.4132
cg23220823,0.3931,0.1386,0.0916,0.128,0.0894,0.4259,0.3797,0.1366,0.1548,0.1242,0.1207,0.038825,0.0993,0.1014,0.1263,0.1088,0.0804,0.0798,0.0922,0.063,0.0691,0.0635,0.1466,0.0723,0.0955
cg08857351,0.232,0.1917,0.1394,0.2206,0.1682,0.2337,0.1436,0.0379,0.0393,0.0656,0.0546,0.026175,0.0672,0.0455,0.0768,0.051,0.0442,0.0279,0.0194,0.0292,0.0168,0.0125,0.0241,0.0288,0.0241
cg02486646,0.1347,0.1188,0.0702,0.1241,0.089,0.1468,0.1244,0.0456,0.0515,0.0518,0.0435,0.037075,0.0551,0.0348,0.053,0.0385,0.0405,0.0452,0.0448,0.051,0.0353,0.0344,0.0419,0.0389,0.0434
cg08474651,0.1932,0.2666,0.163,0.1245,0.148,0.2128,0.1537,0.0227,0.022,0.0211,0.0155,0.013525,0.0166,0.0024,0.0534,0.0035,0.0292,0.0359,0.0186,0.0298,0.0144,0.0225,0.0441,0.0299,0.0257
cg27395200,0.6855,0.6112,0.2654,0.3709,0.3032,0.6158,0.7299,0.1616,0.0696,0.0506,0.1392,0.090025,0.0624,0.0801,0.1848,0.0613,0.2267,0.1995,0.1593,0.1636,0.1449,0.1034,0.232,0.1425,0.1411
cg07275218,0.6981,0.6353,0.3061,0.4302,0.3325,0.6668,0.7337,0.2387,0.1042,0.0442,0.1837,0.1894,0.0698,0.1441,0.2402,0.1112,0.2811,0.2495,0.1954,0.2115,0.1986,0.1357,0.2878,0.1669,0.1986
cg10509607,0.7058,0.6731,0.0629,0.6437,0.1097,0.6333,0.7449,0.1111,0.0882,0.1823,0.0944,0.05275,0.0541,0.0387,0.1152,0.3632,0.2144,0.198,0.2016,0.176,0.223,0.1014,0.1209,0.1854,0.1124
cg14855367,0.8451,0.5886,0.6809,0.8076,0.8375,0.8167,0.8215,0.1138,0.2562,0.048,0.096,0.0469,0.0446,0.0189,0.1496,0.0612,0.1341,0.1809,0.1347,0.175,0.1012,0.1108,0.0941,0.1732,0.1186
cg23247274,0.1302,0.0166,0.1512,0.1123,0.0555,0.0604,0.0164,0.007,0.1076,0.0082,0.0098,0.018325,0.015,0.028,0.022,0.0627,0.0476,0.005,0.044,0.0394,0.0411,0.0359,0.0614,0.0082,0.0485
cg22897141,0.2632,0.1968,0.2586,0.3176,0.2072,0.2014,0.1245,0.1749,0.0038,0.0024,0.0375,0,0.0215,0.0144,0.0943,0.005,0.1339,0.055,0.0398,0.0337,0.0294,0.0156,0.0181,0.0418,0.0408
cg22879098,0.5349,0.5507,0.3692,0.451,0.402,0.5331,0.536,0.026,0.131,0.0479,0.0475,0.067825,0.2207,0.046,0.1954,0.0358,0.0629,0.0976,0.0407,0.0775,0.0452,0.0399,0.0476,0.0793,0.0566
cg24082121,0.5822,0.5525,0.2442,0.3097,0.3254,0.5558,0.6729,0.0243,0.224,0.0184,0.0156,0.10475,0.4313,0.0297,0.1242,0.0179,0.0276,0.0535,0.0374,0.0344,0.0722,0.0171,0.0203,0.0405,0.0327
cg03254916,0.2688,0.2273,0.2313,0.2754,0.2178,0.2501,0.1374,0.111,0.0904,0.0311,0.0332,0.0143,0.034,0.0289,0.0722,0.0284,0.0555,0.055,0.0404,0.0268,0.0391,0.0239,0.0279,0.0397,0.0288
cg08063160,0.7761,0.0969,0.5338,0.3152,0.3844,0.7581,0.7283,0.228,0.3348,0.0635,0.2944,0.07755,0.4125,0.0649,0.1203,0.0395,0.1884,0.312,0.4245,0.1539,0.0794,0.1737,0.0728,0.1462,0.1253
cg08425810,0.706,0.8249,0.841,0.6698,0.866,0.6204,0.6066,0.0631,0.0284,0.0322,0.0375,0.006075,0.0136,0.0166,0.0802,0.1181,0.1508,0.1127,0.0985,0.0754,0.0629,0.0382,0.0519,0.1286,0.0529
cg09267773,0.7251,0.0691,0.4459,0.5365,0.542,0.7737,0.3513,0.1305,0.2643,0.0709,0.1805,0.163075,0.0722,0.2267,0.3711,0.0258,0.1723,0.109,0.1016,0.1439,0.3826,0.0498,0.3085,0.1295,0.1344
cg02962602,0.5569,0.4813,0.3268,0.2805,0.2305,0.4945,0.6419,0.0925,0.0642,0.0544,0.0837,0.042475,0.1162,0.0481,0.1808,0.0771,0.1053,0.3509,0.1204,0.1325,0.0811,0.0958,0.0749,0.1497,0.1014
cg24275356,0.2794,0.264,0.0843,0.0754,0.0748,0.2495,0.2217,0.0701,0.0551,0.0491,0.0826,0.05825,0.0666,0.0542,0.101,0.0545,0.0547,0.0605,0.0726,0.0778,0.0577,0.0621,0.0674,0.065,0.0647
cg26953232,0.4601,0.4022,0.1396,0.1562,0.1308,0.4176,0.4552,0.1474,0.0882,0.0534,0.1044,0.08145,0.0602,0.0965,0.1544,0.0644,0.1664,0.106,0.1236,0.1366,0.1044,0.086,0.1621,0.1152,0.12
cg26757820,0.5911,0.1786,0.0888,0.4253,0.2868,0.5477,0.102,0.1399,0.1253,0.118,0.1712,0.0694,0.0798,0.0798,0.1729,0.2338,0.1147,0.5792,0.2638,0.1567,0.2713,0.1288,0.0946,0.1683,0.1217
cg08832851,0.3915,0.0385,0.0359,0.0503,0.0363,0.4298,0.6754,0.0806,0.1847,0.0546,0.0739,0.050775,0.0454,0.0289,0.1659,0.0419,0.1784,0.1408,0.2173,0.1177,0.0725,0.0974,0.0726,0.0965,0.1393
cg03711944,0.7877,0.7985,0.7903,0.7749,0.8316,0.7016,0.7611,0.1065,0.1278,0.1412,0.1322,0.053575,0.0657,0.0745,0.1865,0.1241,0.1125,0.053,0.0912,0.0539,0.0588,0.0226,0.0877,0.0975,0.0426
cg27388962,0.6395,0.0352,0.5345,0.7294,0.516,0.7352,0.8001,0.0763,0.2622,0.0588,0.0688,0.063075,0.0405,0.0353,0.1126,0.0327,0.128,0.1297,0.1427,0.1277,0.0964,0.0798,0.0719,0.1339,0.0997
cg04913246,0.5662,0.5323,0.0699,0.5341,0.1188,0.5058,0.5757,0.0906,0.1086,0.1966,0.1016,0.06235,0.0579,0.0367,0.1212,0.3454,0.1701,0.1354,0.1269,0.1128,0.1561,0.0798,0.0747,0.124,0.0874
cg10361922,0.1899,0.208,0.1548,0.1599,0.1476,0.1917,0.1179,0.0353,0.0249,0.0198,0.0303,0.016675,0.0267,0.0185,0.0788,0.0172,0.0466,0.0384,0.0262,0.0251,0.0186,0.019,0.0306,0.0282,0.0371
cg26264318,0.2101,0.1807,0.0813,0.0807,0.079,0.17,0.1899,0.0749,0.0806,0.063,0.0687,0.071425,0.0718,0.0656,0.0942,0.0647,0.0866,0.0766,0.0764,0.0862,0.0727,0.0762,0.0806,0.0762,0.0842
cg16416715,0.2601,0.2408,0.0731,0.067,0.0657,0.212,0.1806,0.0833,0.0655,0.0573,0.0677,0.05785,0.0614,0.053,0.0796,0.0553,0.0749,0.0755,0.0774,0.082,0.0665,0.0679,0.0716,0.0651,0.0799
cg08257293,0.622,0.524,0.2553,0.3589,0.3348,0.622,0.5919,0.1152,0.1231,0.0113,0.1338,0.052675,0.0512,0.0249,0.129,0.0467,0.0976,0.2288,0.2407,0.1663,0.068,0.1116,0.1706,0.1634,0.3641
cg26047334,0.7252,0.4559,0.323,0.5292,0.3248,0.6436,0.5335,0.1427,0.3631,0.167,0.1557,0.114275,0.0686,0.0404,0.1248,0.4609,0.1436,0.1512,0.2406,0.1641,0.0807,0.2167,0.0826,0.1854,0.1108
cg14057303,0.8257,0.6651,0.1413,0.1085,0.1371,0.7957,0.1245,0.4291,0.3379,0.3544,0.2168,0.080125,0.0936,0.136,0.2938,0.0484,0.2604,0.2513,0.5008,0.289,0.2786,0.4153,0.1974,0.2352,0.2692
cg26264318,0.2101,0.1807,0.0813,0.0807,0.079,0.17,0.1899,0.0749,0.0806,0.063,0.0687,0.071425,0.0718,0.0656,0.0942,0.0647,0.0866,0.0766,0.0764,0.0862,0.0727,0.0762,0.0806,0.0762,0.0842
cg25158622,0.1869,0.1509,0.0508,0.0504,0.0505,0.1438,0.1417,0.0504,0.057,0.0371,0.0538,0.047475,0.0544,0.0588,0.0698,0.0402,0.0464,0.0548,0.057,0.0552,0.0446,0.0433,0.0564,0.0452,0.0523
cg11975790,0.7251,0.2485,0.1584,0.6402,0.1886,0.7558,0.7261,0.3337,0.0756,0.068,0.1383,0.01595,0.067,0.0579,0.4423,0.054,0.2944,0.2389,0.257,0.2143,0.2975,0.1321,0.1278,0.1603,0.2256
cg25607383,0.786,0.5156,0.4442,0.6886,0.4665,0.7793,0.7248,0.4759,0.2093,0.2763,0.2292,0.09205,0.109,0.0883,0.4716,0.0667,0.3937,0.3411,0.3547,0.3518,0.3978,0.2515,0.2776,0.3305,0.331
cg14845962,0.9156,0.9098,0.9391,0.9103,0.9471,0.8968,0.9033,0.1065,0.1555,0.1584,0.1281,0.003975,0.0413,0.026,0.1392,0.0173,0.2276,0.2047,0.1476,0.1373,0.0679,0.0655,0.0964,0.1885,0.0878
cg08367326,0.0967,0.1011,0.0991,0.1038,0.0556,0.0579,0.1113,0.0089,0.0307,0.0106,0.0019,0.00725,0.0183,0.0106,0.0338,0.0173,0.022,0.0258,0.0133,0.0075,0.0122,0.0082,0.011,0.0099,0.0183
cg16127573,0.8029,0.8161,0.7232,0.7291,0.7989,0.7728,0.7774,0.1284,0.0588,0.0375,0.1134,0.129275,0.0562,0.0268,0.1754,0.02,0.1262,0.1756,0.163,0.1773,0.0888,0.1172,0.1056,0.1789,0.1194
cg27312961,0.5519,0.3744,0.4722,0.5148,0.5939,0.5464,0.6212,0.0699,0.1432,0.0324,0.0704,0.049225,0.0384,0.0281,0.1086,0.0277,0.0748,0.1283,0.1032,0.1382,0.0659,0.0879,0.0733,0.1144,0.0851
cg13506158,0.8846,0.5882,0.7171,0.8792,0.8744,0.8613,0.9292,0.1851,0.3206,0.0433,0.1792,0.14275,0.0473,0.0405,0.1921,0.0885,0.2171,0.2855,0.2094,0.2607,0.1541,0.1982,0.2091,0.208,0.2
cg27269488,0.5222,0.4121,0.4911,0.517,0.5692,0.5258,0.591,0.118,0.1715,0.0418,0.0796,0.04705,0.0392,0.0225,0.1416,0.0257,0.1105,0.1423,0.1391,0.1776,0.0865,0.1186,0.1043,0.1612,0.1356
cg16278496,0.7411,0.8528,0.0816,0.8137,0.1024,0.654,0.8132,0.3267,0.1161,0.5078,0.0339,0.26355,0.0603,0.0256,0.2892,0.0165,0.2007,0.1253,0.1306,0.1245,0.1668,0.0831,0.0875,0.2044,0.0634
cg11798182,0.7748,0.8567,0.1112,0.8118,0.1406,0.6985,0.8092,0.3809,0.1784,0.5558,0.0576,0.298225,0.1316,0.0482,0.3902,0.0234,0.3505,0.1855,0.2293,0.1977,0.2844,0.1385,0.169,0.2944,0.1371
cg15014975,0.9482,0.9537,0.8558,0.799,0.595,0.9149,0.9691,0.1275,0.0481,0.0447,0.1704,0.08805,0.0888,0.144,0.1492,0.2612,0.0607,0.1523,0.4501,0.2514,0.1086,0.2585,0.0744,0.1893,0.107
cg04221877,0.8308,0.8358,0.7972,0.7466,0.6794,0.7834,0.9262,0.3446,0.1821,0.2165,0.4063,0.290475,0.3155,0.3188,0.3184,0.5049,0.2779,0.4153,0.6396,0.4686,0.3545,0.4848,0.2833,0.4643,0.3547
cg10993442,0.8685,0.8405,0.8069,0.8004,0.7027,0.8028,0.8912,0.3433,0.2226,0.3267,0.397,0.332275,0.3373,0.3314,0.3577,0.337,0.2798,0.3185,0.5372,0.3904,0.3515,0.4223,0.3178,0.3498,0.3377
cg24019564,0.626,0.6624,0.576,0.4998,0.4298,0.5496,0.7084,0.1944,0.093,0.0841,0.1612,0.12745,0.1077,0.1173,0.1669,0.1625,0.1217,0.1749,0.3441,0.2284,0.1379,0.2211,0.1288,0.1717,0.1524
cg05043794,0.4383,0.3658,0.1105,0.4032,0.1924,0.3575,0.2771,0.2109,0.1003,0.0517,0.0758,0.0346,0.0426,0.032,0.1782,0.0336,0.1682,0.1246,0.1779,0.1365,0.1362,0.0939,0.0854,0.126,0.1201
cg09577804,0.2943,0.241,0.2293,0.2131,0.2056,0.2517,0.2282,0.0236,0.0479,0.0785,0.0067,0.049475,0.1826,0.0096,0.0848,0.0086,0.1444,0.0246,0.0512,0.0167,0.0484,0.0152,0.166,0.0124,0.1169
cg04778755,0.7571,0.7508,0.7472,0.6887,0.7545,0.7183,0.8623,0.1835,0.2463,0.53,0.1248,0.21475,0.1593,0.0449,0.2382,0.0425,0.4661,0.2003,0.427,0.2794,0.3945,0.1669,0.5598,0.1971,0.4801
